date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1972-02-01,3.7594,5.7,3.3,6.08,3.97878,3.47251,7.95628,0.0837268898714203,18.82202,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-03-01,3.5,5.8,3.83,6.07,3.7037,3.47251,7.95628,0.0812152971480639,10.47382,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-04-01,3.49127,5.7,4.17,6.19,3.69393,5.25138,10.94047,0.0559097874262215,10.47382,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-05-01,3.22581,5.7,4.27,6.13,3.67454,5.25138,10.94047,0.0590594887329509,10.47382,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-06-01,2.96296,5.7,4.46,6.11,3.9267,5.25138,10.94047,0.0837202409648028,15.95615,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-07-01,2.95567,5.6,4.55,6.11,4.43864,5.37836,11.16703,0.0831646982483225,15.95615,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-08-01,2.9484,5.6,4.81,6.21,4.15584,5.37836,11.16703,0.1415762293961513,15.95615,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-09-01,3.18627,5.5,4.87,6.55,4.96084,5.37836,11.16703,0.1005401824953575,10.60976,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-10-01,3.17848,5.6,5.05,6.48,4.69974,6.89181,14.95984,0.1261017344415607,10.60976,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-11-01,3.41463,5.3,5.06,6.28,5.22193,6.89181,14.95984,0.2400041943911457,10.60976,2.6436935413744047,5.584804124573001,3.603667019335759,4.979465999524572,2.474638693879115,3.2452468316211163,6.444654291287848,0.1530684004193951,3.4043290784092353,0
1972-12-01,3.40633,5.2,5.33,6.36,6.47668,6.89181,14.95984,0.1848184543189388,-11.74569,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
